lon,lat,y,residual,Temperature,Shortwave radiation,soil-depth,Wind speed,Soil bulk density,Soil C,Soil N,Soil P,Soil pH,Soil CEC,Soil sand,Soil clay,Distance to manmade land,Distance to water,Slope,cos(Aspect),sin(Aspect),Elevation,Precipitation
119.33249,-29.988663,18.8,-1.938153955,19.89084303,252.1431638,0.537583276,7.082501264,1.413267067,1.117666583,0.077819083,0.157785556,5.83187525,7.504641667,77.12089722,13.99031667,527.510968,57.64895335,0.189072863,0.057398566,0.020863951,466.47,2954.94034
119.33249,-31.988663,25.79,1.885000586,17.49345439,242.0697363,0.876702333,7.019239946,1.432564726,1.208595245,0.087043083,0.076274782,5.709899328,4.260591578,86.89369938,8.040415688,316.733183,25.07037225,0.17790204,0.0419724,-0.05768417,420.56,3985.95317
119.33249,-32.488663,32.3,7.301326522,16.97036821,238.8667461,0.862398263,7.034946572,1.448000892,1.22979191,0.086900029,0.096139984,5.593271402,5.251877707,86.81411721,7.868609755,293.4975818,18.30314313,0.205049532,-0.043406063,0.010305381,358.3363636,3972.094574
119.33249,-34.488663,10.61,-12.81365352,16.43710923,212.7792057,0.831265687,7.76898298,1.371039938,2.269140219,0.143845481,0.101503889,5.338219614,7.421474129,86.53017524,7.727980539,35.31432081,16.03952354,0.145913066,0.394046601,-0.254515229,46.13888889,5762.286354
119.83249,-21.488663,23.85,10.20928076,27.34792941,268.6485442,0.048003628,6.377119329,1.485860804,0.52863786,0.111142584,0.103839334,6.23012361,7.095316667,79.81969167,12.21146111,609.8796507,48.97649472,0.268901702,0.170562859,0.059690721,306.49,4294.395657
119.83249,-22.988663,15.55,-2.773569296,26.12207464,267.8252784,0.475637194,6.233130596,1.47141477,0.60752786,0.099001224,0.118657806,5.710660695,7.496225,75.15125556,15.24461944,171.4385698,60.13460979,0.204566557,-0.011567252,0.034265527,487.87,3311.053124
119.83249,-23.988663,10.99,-7.004384649,24.79444071,267.2127504,0.306124001,6.509870081,1.483493219,0.553701331,0.080364111,0.103461862,5.684634472,7.464338889,76.17298333,14.90330833,273.3674102,66.32154536,0.126029975,-0.046813213,-0.135570222,603.4727273,2605.165973
119.83249,-26.488663,20.23,-3.118447637,22.93185986,262.3195634,0.394036395,6.923998457,1.51887387,0.740188971,0.043023027,0.124451111,5.08748564,6.741486111,77.14436389,14.63154444,183.3135705,61.78870406,0.153268754,0.03532522,-0.016371353,558.9,2596.945778
119.83249,-26.988663,19.34,-2.536845162,22.45602601,261.4317282,0.067262277,6.959759308,1.518021816,0.577373026,0.038966583,0.115056416,5.327362695,6.289086111,81.91073889,11.46618611,244.0978865,61.00539209,0.155558861,0.070360904,-0.065458142,548.56,2587.251674
119.83249,-29.988663,20.66,1.493806029,19.85029809,251.7103124,0.491973176,7.115560994,1.425550262,1.029847228,0.08126707,0.117588246,5.756216721,7.245845717,79.24801704,12.62691103,570.1959361,27.15999613,0.177496806,0.044207729,-0.020152188,447.88,2920.648224
119.83249,-30.488663,23.31,2.423567928,19.34733649,249.5753198,0.628950777,7.11552067,1.408245142,1.218907527,0.097268889,0.126013694,6.059898472,6.216352778,79.44797222,12.39215278,384.391335,32.98404889,0.183956048,-0.015135047,0.001859449,455.9818182,3299.248465
119.83249,-30.988663,24.67,3.89470779,19.12922802,247.4716834,0.665648494,7.08337399,1.412372059,1.163711939,0.098813122,0.091365819,6.078093001,6.594159281,81.26832361,11.1666002,244.4517907,17.7243998,0.197996772,-0.075916652,-0.022785246,390.26,3353.716651
119.83249,-31.988663,21.87,-0.512233572,17.50344353,241.6691434,0.839029939,7.081369304,1.420024988,1.219636633,0.082504074,0.081345973,5.789033051,4.521664781,86.22742995,8.274355082,390.6701997,19.5351101,0.141672794,0.012789527,-0.091730695,418.05,3800.727221
119.83249,-33.988663,25.23,2.369366651,16.42469624,221.6823061,0.693194643,7.431069227,1.409819952,1.789797813,0.134883218,0.116240798,5.690759475,7.060683338,85.42759914,8.50175945,52.5611106,34.74895794,0.442182295,-0.082731584,0.214261898,123.862069,4744.415862
120.33249,-19.988663,9.105186871,-13.23677488,27.68839094,262.4154488,0.405353246,6.190781163,1.535286693,0.506326795,0.09635405,0.113144093,5.55652938,4.372054733,90.74896924,5.503857407,75.91235157,18.71073404,0.182322071,0.019205773,-0.159378863,61.95180723,4275.875373
