"SampleID","Lon","Lat","Cr_ppm","Cu_ppm","y"
497,118.6655802,-25.19981724,269,28,5.59471137960184
498,118.6663811,-25.03486737,162,33,5.08759633523238
499,118.6722596,-24.68001606,65,7,4.17438726989564
500,118.6767999,-24.92610703,482,62,6.1779441140506
501,118.6795298,-24.82692651,361,48,5.88887795833288
502,118.6796302,-25.15037739,89,57,4.48863636973214
503,118.6800314,-25.0379173,327,32,5.78996017089725
504,118.6826397,-24.77471625,153,90,5.03043792139244
505,118.68272,-24.90199691,196,74,5.27811465923052
506,118.6837717,-24.96274704,276,101,5.62040086571715
507,118.6840814,-25.08218727,169,34,5.12989871492307
508,118.685382,-25.05460712,326,35,5.78689738136671
509,118.6870703,-25.20255717,231,31,5.44241771052179
510,118.6877003,-25.18551724,198,35,5.28826703069454
