"Lon","Lat","Elevation"
118.6976389,-25.31742438,516.6616879
118.7021434,-25.31742438,515.6973025
118.7066479,-25.31742438,516.8820971
118.7111524,-25.31742438,517.6135462
118.7156569,-25.31742438,519.2709005
118.7201614,-25.31742438,512.4157162
118.7246659,-25.31742438,512.2156834
118.7291704,-25.31742438,510.2082713
118.7336749,-25.31742438,507.2922577
118.7381794,-25.31742438,505.5493199
118.7426839,-25.31742438,504.2234272
118.7471885,-25.31742438,503.2663553
118.751693,-25.31742438,501.7236214
118.7561975,-25.31742438,500.2840284
118.760702,-25.31742438,499.2893719
118.7652065,-25.31742438,499.4402554
118.769711,-25.31742438,499.8610842
118.7742155,-25.31742438,499.6857872
118.77872,-25.31742438,499.6570944
118.7832245,-25.31742438,500.166001
118.787729,-25.31742438,500.9376399
118.7922335,-25.31742438,504.6668077
118.796738,-25.31742438,512.2254
118.8012425,-25.31742438,519.719633
118.805747,-25.31742438,518.3747883
118.8102515,-25.31742438,512.914189
118.814756,-25.31742438,507.5456161
118.8192605,-25.31742438,505.894762
118.823765,-25.31742438,506.0708431
118.8282695,-25.31742438,506.1931156
118.832774,-25.31742438,506.2745262
118.8372785,-25.31742438,506.1700698
118.841783,-25.31742438,506.4045067
118.8462876,-25.31742438,506.9627342
118.8507921,-25.31742438,507.328768
118.8552966,-25.31742438,507.059241
118.8598011,-25.31742438,507.0703626
118.8643056,-25.31742438,506.9659472
118.8688101,-25.31742438,507.3951497
118.8733146,-25.31742438,508.5809583
118.8778191,-25.31742438,509.9486228
118.8823236,-25.31742438,511.2950056
118.8868281,-25.31742438,512.3403414
118.8913326,-25.31742438,512.8504353
118.8958371,-25.31742438,513.0025892
118.9003416,-25.31742438,513.4283481
118.9048461,-25.31742438,514.6239739
118.9093506,-25.31742438,515.2715509
118.9138551,-25.31742438,515.9806013
118.9183596,-25.31742438,516.2137298
118.9228641,-25.31742438,516.8820125
118.9273686,-25.31742438,517.5000574
118.9318731,-25.31742438,518.5115373
118.9363776,-25.31742438,519.6997178
118.9408821,-25.31742438,521.0252004
118.9453867,-25.31742438,521.8881819
118.9498912,-25.31742438,522.2944237
118.9543957,-25.31742438,522.8675326
118.9589002,-25.31742438,524.7501644
118.9634047,-25.31742438,526.951992
118.9679092,-25.31742438,525.7808491
118.3958371,-25.31291988,504.3703565
118.4003416,-25.31291988,506.0391622
